comentario;sentimento
not bad likin bhuta small h;1
not good very bad lamp;1
one is not working damaged product receivedbatteries are not working;1
star light is 6 to 7 days after that no light is working what happened to this i dont understand pathetic for mehow about other person i dont know;1
bro trust me it leaks thats it;1
after using it for 3 months insulation stopped working not able to contact to avail the warrenty flipkart help me on this what is the use of using flask if insulation does not work i feel the heat outside flask and hot water gets cold within some 5 hours or so;1
damage peace received;1
not so much good nor bad;1
nt that much useful;1
nice good quality thanks flipkart ;1
after one wash the colour was gone very upset otherwise the design was very good;1
not that much goodbut ok;1
144tc isnt it doesnt look like color faded after 3 washflipkart please check your team who give it flipkart assured tag;1
okay;1
quality is not good very poor fabric material;1
colour fade in 1 wash it looks like very old;1
product not baddelivery service worst;1
i like the product very much but life time is too short light not working within one month use only;1
good;1
nice thanku flipcart;1
value for money light weight good fabric;1
its just ok not soft enough its get hard and very stiff with one use;1
nice;1
very good but size so small;1
good;1
ok product;1
half plate and glass is ok but bowls are very very small and quarter plates are little bit thin;1
sound quality is good but i expect too bess;1
alexa is far better;1
awesome product ;1
awesome product love it;1
great;1
good product;1
bluetooth speaker is better than google nest mini because you need 24 hours of electricity and wifi to run it;1
nice i am satisfied;1
awesome bass small speaker with loud music it works with direct ac power if you dont have power backup you need to buy a small ups device for that i am using my old wifi router ups it will bang without stopping;1
awesome product ;1
so i bought a pixel 4a and as an offer got this for just 1 rupee pros 1 google assistant works seamlessly you can set your phone to not respond to your voice when this device is nearby the features that the assistant provides is same as phone however the mics are well placed and can recognize your voice from distance as well 2 build quality and design this is the best build quality you can get in this price bracket it looks far premium than any similarly priced home assistants;1
excellent quality;1
just woo ;1
its great;1
well this is fun my parents at home are enjoying this product by playing songs and stuffshockingly got it for 1 rupee with pixel 4a offer valid till july 2021;1
super;1
good products from google;1
nice product only sound quality need to improve;1
must have a inbuilt battery like a bluetooth speakeronly thing they need to do this;1
good product;1
awesome;1
gifted to my sisterrecommended by my son both loving it ;1
smart and intelligent google efforts towards human centric society love it;1
its awesome;1
very nice ;1
mazza aa gya it helped me a lot to connect all my devices;1
it is a good product when you have all smart devices in your home but never buy it if you dont have any smart devices and it dont have battery;1
best speaker;1
excellent product;1
super product;1
good ahd fast delivery;1
i feel in terms of conversations alexa is more humanlikegoogle assistant makes you feel youre talking to a robot which you actually are but its all about user experience at the end some replies are pretty formalinformation wise google assistant certainty aces information is mostly accurate and authentic but like i said you wont get a friend feeling that alexa provides;1
i love this;1
i got it only just rs499got a authentic and original product from flipkart 499rs and google nest mini 2nd gen amezing;1
i think alexa is better;1
good products in this price rs 1999;1
nice;1
super cool;1
value for money;1
good product had to reset to get connected with wifi price bit high;1
alexa is much better then thiswont recommend;1
not bad;1
wonderful innovations;1
i got it at 1499 in offer it worths this price it can do several ai work from answering your daily questions from playing songs it can even do further with googles routine features;1
the product is very good and well its nice;1
best;1
easy to setup easy to use value for money have to use this plugged to power;1
beautiful sound quality;1
great device im making my room fully automated and this is soo helpful in doing that besides what can even beat google;1
i loved it its very nice but the sound quality is not as expectedand another one is it doesnt have battery if it has a battery backup atleast for 5hours then it will be awesome;1
bass is not as excepted sometimes ok google not listen you;1
go for alexa echo dot if you have not dependent on googles ecosystemi have an echo dot at my home which works way better than this in terms of sound quality and mic sensitivity you have to shout if you want to do something with voice commands when the songs are playing on this this is not the case with echo dot for first timers dnt waste your money on this echo dot is way better for kids and family member to listen to songs and do minor tasks;1
good speaker in budget and really smart as compared to alexa;1
really awesome product thank god;1
really great product;1
its good product;1
good sound quality;1
very useful and addictivegot it for 2k and i feel its all worth it for my usagefor all those who are worried about poor ratings about battery backup know the product before buying itit works only with power and not a portable bluetooth speakerit does it works simply superb detects voice way better than voice assistant in mobile phones daily reminders alarm and other smart devices;1
i have given google n mini poor rating because of lack of rechargeable battery and absence of bluetooth supportit works only when you have very high speed internet connection and conumes very large chunk of data to play even few hours of music i m thinking for return refund the product because it seems too costly for price of 2000 rupees but but but its melodious sound and deep bass has awesome quality stopping me to doing so;1
very hard to pair with google home instead buy mi smart speaker very much user friendly;1
i am posting the review of this product after a year and its pretty awesome product i liked i think you people should buy this product will be also helpful for educational purposes ;1
i bought it at a unbelievable price segment it was 49900 inr before buying it you must buy a new smartphone then go for it nice product;1
just awesome;1
good product with 1600rs;1
sound quality and look is better than alexa it has also more information compared to alexa but alexa sounds like a human and its something like a robot and alexa is better than google when its about ai;1
overall good product;1
great as usual;1
i recently purchased this google smart speaker for kids at my home and after using for a while now i can say that it is very useful thing for kids it helps kids in learning different things and can also be used as a multimedia speaker sound output is also good and clear at last i want to conclude my review by saying that this is the best value for money product;1
awesome;1
well i am using this product with an iphone so i was expecting the i could be able to use apple music directly with google assistant but sadly that support aint available till yet in india maybe soon apart from that this is an amazing product;1
i recently purchased this google nest mini smart speaker from flipkart after using it for a while i can say that it is very useful in day today tasks i bought it for kids at my home and its very useful in learning different things sound quality is also very good its the best gift you can give to your loved ones thanks to flipkart for delivering it on time;1
nice;1
it is marvellous more than what i expected thank you for the amazing delivery of this product;1
as google assistant is far better than alexa but the sound quality should be increased as the bass treble and voice clarity is too good in alexa speaker;1
superb product;1
very nice ;1
value for money;1
great device got it for rupees 499 special offer price perfect music companion thank you flipkart and thank you google;1
awesome ;1
very good product and it will more awesome if it does have the battery feature;1
works good;1
superb product great sound google nest mini is the best item in this category i like it very much buy it;1
nice product from google thanks google;1
good;1
must go for it;1
voice recognition is too bad alexa is better than it;1
when i use first time this fealing is superb;1
as usual no doubt about this little giantsuperb product at a very affordable however the delivery was late;1
product is superb;1
excellent ;1
awesome product;1
its very nice and loud too only thing if google can give option to pair bluetooth separately because once it is disconnected from wifi and not paired already then its very annoying;1
it great as expected;1
more useful if u plan to have other interconnected deviceswall mount option seems to work better for audio reception;1
best mini versionloved it ;1
sometime not connecting wifi otherwise best music best for room freindly people;1
vocals and instrumentals are clear and precise you cant expect bass especially with such a form factor all in all its a nice purchase;1
i love this i have 2 nest great product;1
i have recently purchased google nest mini from flipkart the quality is very good it look and feel very premium in hand after using this for a week now i can say that it is best value for money pros google assistantcrystal clear soundpremium build and designcons requires electricity connectioncant use outdoors without electricitythanks to flipkart for super quick delivery of this product at this difficult time i am very satisfied with service and offers provided by flipkar;1
superb sound and works very fine;1
delivered few hrs ago 23may 1st impression was excellent impressed with bass and sound need time for testing and get back with review in a week while playing news it not respond my voice5 days usage 1 bluetooth disconnected on every 15 minutes2 cant play more playlist everytime some default playlist only playing3 it cant speak on tamil4 while music playing it cant recognize my voiceif its recognize that will be a wrong search5 only 5 feet is distance for better searc;1
value for money;1
i got it in499rs so everything is good;1
product would have been far better voice assistant works 50 ok incomplete product alexa is better;1
nice productbest sound quality;1
superb quality;1
got it at the very best price it may not feel worth for the original price but most of the time you will get in offered price for that its worth;1
best product ever;1
awesome product;1
nice product to buy make your work much easier;1
love it ;1
writing this review after 1 months of uses pros sounds quality is good in this price range design is good and very handy voice recognition is good you can as a bluetooth device or you can stream directly from spotify or youtube music acts like alexa not much differenceyou can control you tv lights and other smart stuffs cons main issue is it should always be plugged in to play songs cant use it as a wireless device voice recognition is kind of lagging in case background no;1
sound quality is better than alexa;1
thankyou flipkart for an amazing delivery packaging was also very well done product is really awesome i bought it as a gift for my parents anniversary and they are loving it they are using it on a daily basis from several months and still the product is in intact condition;1
very nice product;1
good but need to improve more and battery backup 0;1
its a very good product;1
sound quality is very goodworks good when connected with broadband internet;1
simply superb;1
very useful and reliable;1
good;1
awesome super vooce;1
sometimes you have to say command 23 times but if we put this aside then its nice;1
great love it ;1
working very fine must go product got it for rs499 value for money;1
very good;1
it will be worth it if you have google pixel phone also;1
its good and worth buying;1
some more expected;1
it is really nice the artificial intelligence needs to get better tho overall satisfied for 1999;1
loved it;1
best ;1
i got this product google next mini second generation buy a rs 499;1
bass is perfect you can vibe with it worth every penny though i coudnt;1
thank u flip cart for this wonderful gifthats off;1
best product i got it 499 thanks to flipkart;1
mind blowing;1
magical device;1
excellent ;1
gassistant features are very excited;1
a mind blowing audio product of its kind;1
its just amazing amazing sound quality with a strong bass you can feel a perfect clarity in every sound can be used in both as wifi and bluetooth connectivity built quality is perfect not such heavyweight looks attractivealso google home is very effective voice recognition is also up to the mark if youre going for a smart speaker with bluetooth connectivity no doubt you can go for this google nest mini device ;1
nice product at par with alexa needs further improvement;1
good product;1
nice product;1
i love it 247 full on fun and best price ever ;1
product is very good but have to be specific and a little careful for first set up;1
good thing i loved it good sound quality;1
worth buying the product;1
so nice product amazing featured;1
very useful smart speaker for small kids very helpful for clearing all queries small kids have absolutely must have for all kids;1
very useful smart speaker from google absolutely best value for money deal;1
very good smart speaker from google very useful for small kids;1
its very nice speaker google did a great job;1
best products;1
it is useful only if you have router internet wifi at your home bedroom otherwise its not useful to connect nest mini only via bluetooth to listen music;1
excellent product;1
awesome ;1
very nice product i just loved it;1
this small product is awesome in every respect its sound is wonderful looks are amazing and its usefulness is beyond my imagination;1
good;1
no products is like this its greate value more then money 599;1
nice ;1
when the volume of the speaker is high or full you have to shout your guts out to control it by your voice not sure whether it is the case with alexa as well rest all is fine;1
awesome;1
good one;1
nice;1
nice product;1
excellent product but be sure about your usage;1
good;1
best purchase if you want a google assistant to take down ur daily reminders nevertheless a gud speaker as well for your daily devotional songsbut do go for youtube premium or els listening to songs will not be that exciting;1
product is good but in day today life it is not going to use i just used for 12 months and now it is use less;1
nice;1
love this product ;1
speaker is nice but it doesnt hear sometime when i say ok google dont know how it is not working other than it is perfect device;1
sound quality is super ;1
very amazing product sound quality is also so good;1
this one works so smoothly loveevery aspect ofit;1
superb;1
just one word amazing;1
awesome;1
best smart speakrthis speaker better than alexai am using 24 hours very good voice and sound catching seystemi love this product google is the world no 1 sequre app alexa is bad this price rangei love google ;1
very basic not a replacement for bluetooth speakers;1
purchased at rs 499 awesome sound great bass worth at this price;1
cons pros since from last 3 month in my experience there is some bugs and cache build in google assistant that feel like overflow costly dont feel like voice is cover more area need electric and internet connection all time there is no back type battery some pros are a good design product and easily took any where sounds quality is good very good for a room;1
good;1
very good;1
not user friendly i have alexa also and that is far better than this in terms of response;1
nice;1
i have been using the product since 4 months and now the assistant is taking time to respond to queries stated or asked to but product build quality is good and sounds best in class concerned to hardware;1
i hv mi smart speaker and also alexa but the voice quality that provide google mini is very nice you will get 14 days trial of youtube account but after 14 days you are not eligible to command any song that u like too much add on youtube music;1
pretty useful with terrific sound quality the only limitation is that it can connect with only 1 predefined wifi network it would be way better if it can automatically detect the available wifi and connect to it;1
i got it on discount hence bought it product is overall good and if you have subscription then experience can be even better;1
good quality product can be purchased;1
best thing at your bedside table ;1
need additional facilities like battery and bluetooth connection;1
good product;1
nice loot;1
great product easy to setup enough for a 2 bhk flat children enjoys it with google assistant built quality is excellent good sound quality and good bass;1
it is very helpful product also use very less data we can also connect this to our mobile hotspot ;1
because of far field mic technology our voice is easily recognized by google home mini i brought alexa enabled from ultimate ears which doesnt have far field mic technology only drawback i see is no built in battery super response calling feature songs news alarm reminder many more love thisgo for 2nd gen only;1
everything of this device is absolutely greati have to say that the sound which this device produce is so fine and natural;1
super experienceloved it;1
very good product i like very much;1
nyc;1
best;1
good quality;1
its pretty good does the job well;1
amazing product present by google;1
happy;1
excellent product;1
good product;1
ultimately happy;1
under 700 me google next 2 super;1
trying to figure how battery backup works else good product better than alexa;1
need additional facilities like battery and bluetooth connection;1
good product;1
good speaker value for money rs1999;1
using since 3 months very nice product ;1
amazing device working in any language i loved it;1
the only con is it doesnt have battery its plug and play;1
item is good under 2000 rupees built is good sound is great a great deal under 2000;1
good price;1
nice product;1
best assistant from google;1
its just good;1
very good and some time funny ;1
best smart speaker;1
i really appreciate good work and algorithm made by google easy my day;1
good speaker and mike is responsive ;1
its really good product better than alexa make sure you have smart tv and smart lights before buying then only its useful;1
very good products;1
it looks soo good but it has too many limitations we can carry it everywhere why dont you give us a direct bluetooth connect option for music;1
if it had battery and type c connector it is enough as a speaker;1
thanku flipkart and google;1
simply awesome product just 1 improvement is requiredshould have been wireless while on bluetooth mobile so that could have carried without adapter anywhere;1
best decision ;1
good in budget;1
good;1
awesome;1
it is very best i liked it quality is good;1
good one ;1
i am loving it ;1
product is good for this price need improvement on bass quality;1
value for money;1
great product;1
good;1
product is fine but not of much use;1
smooth voice decent look;1
nice product but you have to purchase youtube premium subscription to play around;1
i am from tamilnadu i need think to update the many languages supported yes i cannot speak with my locality language kundli ine english i am trying to change but cannot change it now sound quality is best and bass is best charging adapter is nokia i think;1
excellent product children will love it addition of more indian languages will help to boost sales;1
no comments simply good as expected;1
no comments simply good as expected;1
it is good and useful only when you have wifi connection otherwise its a waste product for you;1
the bass wasnt good sound quality was good but the bass should be more higher;1
using as a bedroom speaker works well at level 13 volume with default bass and treble setting minimalist looks and great microphone;1
would have been better if it could have supported playing without electricity backup;1
one thing i noticed is the sound quality which is good;1
design and build quality is good but installation is quite difficult better to go with alexa alexa has some extra features than google nest mini;1
good worth for money;1
attach with smart tv nice one enjoy it with just say ok google enjoy with smile;1
overall nice but google should improve it by pushing updates it takes too time to connect and for searching;1
using google products from a very long time and not gonna lie but tbh this speaker is gonna be so much of use if you can make a good use out of it and implement good ideas through itits awesome;1
awesome sound quality best product i lobe love it;1
its really nice;1
nice;1
good;1
efficient product things i need in next version touch volume control which is presented in mi smart speaker rechargeable to use on rooftop and with clock like eco dot;1
good quality;1
might be some shortcomings on sound front but excellent sound for the discounted price it offers;1
nice;1
google is known for its reliable products and this device no different exceptional build quality in such a compact device loved everything about it this device along with the google assistant really makes your lives easier;1
very good product;1
thank you flipkart for fast delivery it got delivered in less than 24 hours;1
verey good spekar;1
good sound quality must have history so that searching for few days ago played will be easy;1
very nice ;1
battery capacity lol it needs constant plugged in fyi there is no inbuilt battery in it sound is good as a speaker bass is somewhat okay voice recognition is perfect bought a smart bulb along with itnow both are connected and nest operates ithappy with the purchase;1
best home speaker with good sound quality;1
up to 80 volume it is good but at 90 to 100 volume it is not that good after listening via bluetooth for 1 to 2 hours it is disconnected automatically this is not expected ;1
awsome;1
best gadget best volume and bass and fast recognition by google assistant;1
its a good speaker but if it work on battery then it should be best;1
overall good in sound qualityonly one thing out of 7 in 10 times it listen with ok google command;1
it doesnt have battery back only dc inputsound quality is awesome;1
very good quality this google assistant try to all;1
glad to get this at 1325 during bbd working perfectly;1
awesome 55;1
its sound is very good and amazing voice recognition faciloty;1
awesome tool for home automation;1
sound quality is lit ;1
its look mini but the sound quality is awesomebuild quality was very goodsize is compactwork well even from distance;1
very useful product;1
i lived this and its a real utility which helps and we enjoy with it;1
decent product good for kidsconvenient in use;1
superb speaker but the only drawback is that it doesnt have its own battery;1
quite a handy speaker first setup is quite itchy but once paired it runs smoothly catch the english phrases with utmost accuracy but lags in hindi sound is quality is okay bass not that good but voice clarity is great;1
