comentario;sentimento
good product but it is not 5 literit is 3liter size is not accurate;0
after long review ordered this product for my home usageproduct is working well and make stylish my kitchenthis product having the taste enhancerbut i didnt felt any changes from tasteso if someone could advise to change the setting to get taste water i would like to say thanks;1
good solo microwave oven;1
good but thin page;0
i used to get the food product every time and have been using it since 2 years but this product was very bad and it is rally annoying i will stop using it and will not suggest anyone to use it either;-1
ok no worth for money;-1
build quality is okbut fit is not goodneed some more tight;0
nice product;1
the product quality is ok ok masks are very thin;0
quality product just awesome;1
superb;1
awesomeyeh price main itna bst productsuch a amazing nd without flipkart yeh possible na ho patatenkew flipkart;1
very very nice product good quality complete work speedly;1
poor bcz early leakadge;-1
sizes of the plates and bowl s were smaller then the regular size;0
wonderful service of bazaz im very happy;1
output sound quality is not clear;-1
very good go ahead;1
not good proper work;-1
always leakage problem dont buy it and no return policy on this worst diaper;-1
15 years boy ferfect but use to break tayer;0
very very low guality;-1
good product;1
okkk;0
its not good only only one side absorbing;-1
its size is little bit short;-1
the tv unit is best fit for tv size 32 to 40 inchthe quality is good with this price range;1
satisfied;1
heating issue sound quality is average;0
its getting hotter very fast;0
very good;1
cooking process is too latethis is the main default in this itemquality is better;0
84mbps;0
too loose it cant be 10 to 40 kg;-1
satisfied with overall product just think that maybe it should have taken lesser time to heat takes around 25 min before it gets autocut ;1
best;1
average product;0
audio quality ?�;0
nic product thaks;1
the transfer speed is very slow 20mb transfer per second and;0
flipkart display cloth nd variginal is heavy bright not good;1
very bad product please do not waste a money;0
open box and old remote;0
worst daipers waste of money;-1
very poor qulity not buy this;-1
value of money;1
very bad product only 23 hr use otherwise leak over their do not purchase this for bulk;-1
45 days battery backup;0
very poor quality product;-1
good quality support in redmi note 4;1
very thin flim color is getting out on rub very small size;-1
bad;-1
awesome product very good service and the taste of the water is good and the main part the installation service of kent company there just mind blowing when i got delivered this product from flipkart they call me on the same day and and also install in the same day it is fully satisfied for me and best experience to purchase this product;1
i got smaller size wasre of money dont buy it;-1
they change their product quality;-1
not bad;0
about diet session was very good and gave some tips by dietitian was very helpful to control my weight;-1
very thin;0
i have not received the product as shown on the display so i have received a duplicate product i have not received the product brand and style of the bag as shown on the app i have not received the product with the brand and style of the bag as shown on the app;0
leakage problem;-1
product has less absorption capacity;-1
i always like lakme kajolits longlastingi really liked it;1
very good product;1
varey bad and poor product;-1
a little bit suitable;0
healthy plant thanks flipkart;1
good products;1
nice product in time delivery and installations but some problems in the product getting overflow in tank but now fix by kent technician;1
teddy bear is good but there is a issue of size;0
ok ok;0
it was good for record gaming videos;1
bought it for my 5 year old son for rs 365 size 5 but the ball costs around 1000 at shops i decided to buy in flipkart and the ball seems hard and seems like low quality we can use it for rough purpose;0
ok;0
bad qulity;-1
not satisfied very bad quality dont buy this;-1
good;1
just ok;0
good to buy;1
good looking best quality and stylish;1
i am happy with both the product and installation mr mustak from installation team is too efficient his behavior is good and with a sound knowledge;1
quality is average and price too high according to product;0
quality is very bad and diapers are very hard;-1
the fragrance was very fresh just love the perfect perfume easy to carry and use;1
its average product;0
tv stand is very good;1
leakage problem;-1
very bad product not recommend to use it;-1
i really like the packaging quality fragrance and luxurious feel of this product it refreshes you and leaves you smelling good for the whole day with one use;1
very small;-1
waste of money dont buy;-1
not up to the mark;0
worst product ive ever seen before;-1
quality not as expected;-1
inside wool is coming out;0
first 5days it works to good but after 5 days it doesnt work;-1
ok;0
very good perfume;1
it is a very good ball since i used it before 8 months in very hard and tough conditions but this will survive in all conditions i will very happy with this product;0
everything is ok but brake are very poor;0
not good;-1
nice value for money;1
taking more time for cooking rice;0
product is okay but the size js too small from expectations;0
west size very small west of money dont purchase this product very bad experience goys;-1
product is good but packing is not ;0
sticker was not good and not to paste easily and cutting are very bad;-1
good itemfast deliverymust purchase;1
its very thin and not comfort my baby;-1
bad quality and rash;-1
after clean frist time the colour is not good;1
poor quality;-1
looks good;1
extremely poor display color looks artificial and pictures arent sharp pixelated background while watching anime videos i should not have bought this machine first hand;-1
poor quality plastic not worth the money;-1
third quality product;0
colour not match;-1
ok;0
ultimate product;0
supper;1
low quality product;-1
nice watch best quality;1
good quality;1
product ok but its taking 35min above to cook 1kg of rice;0
not bad not bad;0
superb;1
excellent ;1
good;1
low quality;-1
very;0
its not 900ml;0
good product must buy;1
not that good;-1
i m really happythis is very usefulsuperb;1
fantastic product;1
bad product;-1
value of moneygoood product;1
nice product;1
mind blowing product;0
size and fittings perfect product is pure cotton onlything is elastic looses very fast;1
it as told two bowls but onlyone bowl available;0
not strong and rod was very thin;-1
diaper is not upto the markbad quality duplicate;-1
not good some time not full but clothes are wet many time that why my baby is suffering cold cough;-1
too big size;0
not good;-1
naice watch;1
dont buy it my baby is not heavy wetter still it leaks in 5 hours i used baby hug and cuddles i didnt face leakage problem in that up to 12 hrs waste of money;-1
useless product cant even use for 2 hours;-1
the handle of the top already break;-1
low quality producton compared with my previous order same product dont buy;-1
nice nothing to say;1
not a good diaper;-1
looking very nice;1
verry good;1
not nice product;-1
worest product;-1
indeed it s a good product recommend even i purchase during the special sales the rates are excellent and product is amazing;1
perfect product;1
worst quality diaper i ever bought for my son;-1
good but price is more;0
very very very very very very bad product baby not comfortable very bad quality mattarial dont buy again ;-1
very worst quality ;-1
nice;1
its good for mobile dslr laptop;1
very good price is also good;1
medium quality;-1
nicee;1
good product recieved many seeds;1
very nice good quality;1
v good bat;1
nice product budget friendly;1
averagebrush set loose while set in handle;0
very good;1
small size;0
okay as per the money;0
not enough sponge inside toy is very very thin and no matching with the product image;-1
nice product;1
product was good;1
bad qalatey;-1
i am satisfied with the product;1
very bad prodect its not suitable for babys;-1
nice product;1
not so good not looks as shown in picture;-1
nice;1
not gud cheap quality;-1
worthable;0
thank u flipkart this is a very good product ;1
im happyvery good product very useful;1
average quality;0
after 1moth latter flipkart has replace the appliance now this product is osm ;0
not ok;-1
handle spin not working in just 1 month;-1
size not good problem;-1
worst product;-1
better;1
only good for one personvery small and automatic system stops while light items to be cook;0
very good product worth money water purification is good as mentionedon time delivery and the very next day installation donegot the call from pure it service centre for installation on the same day after delivery;1
average but price is little bit high for cooler very difficult to clean this cooler and its not simple process to fit the cooler once its cleaned;0
sound quality is quite good but bass is not enough;0
nice value for money;1
worst ball aver;-1
it is small cooler not fit for room and hall it can be used in small place like shop or store room;0
great at this price range even batter than other in this price range;1
very nice product;1
very bad;-1
best product;1
good product by haier and great delivery by flipkart good product in price segment;1
this cooler is good for small party halls and suitable for big hall roomsnoise is too much cant bare that noise on speed 1 itself;0
good;1
best quality;1
awesome product;1
item brand other;0
average product;0
doesnt meet expectations;-1
only for swimming not for sleeping;0
product is very satisfied but battery is no inside;0
ok;0
long sized;0
for flipkart lightening fast delivery done overnight filter in flawless condition but the delivery people charged me rs200 which is not mentioned anywhere please look into this flipkart you have lost a star for thatfor livpure product looks great and water level down from 650ppm to 45 ppm hope to drop further with use installation was done on the same day of delivery only the wastage of water is huge overall looks good till now will update my review after a months use;1
really comfortable;1
soft but too small in size;0
ok;0
cracked from below within two months model is good but product is very bad;-1
best but small bed;0
this is a good and best product100 excellent choice;1
very bad ;-1
nice;1
not to the mark;0
medium;0
it is not to b bought coz it leaks so soonwont b recommend;-1
worst product;-1
very good;1
the rubber quality was ok not to the expectations;-1
very nice at price but slightly damaged;0
wrost joint;0
good packingi love it;1
ok;0
ok;0
rama;0
product is perfect time to deliver;0
i dont like this ;-1
good oven with enough cooking options received with starter kit containing microwave safe utensils it was good deal from flipkartregarding the ifb service customer service agent identified me with my mobile number and was helpful in scheduling the installation and demo time but the fellow who came for installation and demo dont know much about oven he was interested only in selling ifb accessories like voltage cutoff i dont know what will happen in future with service;1
dont dont dont dont dont dont dont dont please dont dont buy this worst worst leader products ;-1
very worst product my baby got severe infection only using 4 hrs only;-1
worst productdidnt has anti rash shield worst quality;-1
the diapers is very thin first time i am giving bad reviews bcs the diapers is not good very much thin pls dont send this type of products to regular customer i am regularly purchase the baby products in filpkart pls improve it;-1
ok;0
value for money thanks to flipkart;1
nice quality;1
ok;0
worth?�?�?�?�;0
not worthable but ok;0
product is good but not as per expected;-1
better but not best;0
this item is very bad dont buying ;-1
avarage;0
light weight;0
its ok;0
bad product;-1
worst diaperit is not able to absorb baby urineits carton based not jell based diaper;-1
good product full satisfied;1
its too small and over priced;0
poor;-1
leakage problem not good a quality product;-1
value of money packing to good im impressed;1
product is very good and touch is fine all programs in nice to coooook we like it;1
thali is very thin;0
good worth of money;1
very nice products;1
you will find all that is required for day to day in saving kitchen time help a good helping handa loving family who wants you to enjoy dinning table with the family;1
bad product my baby got rashes after using this product;-1
product is to short bcz not stick to one wall one wall os not cmplt;-1
waste cycle dont buy it please waste of money i bought cycle but 2nd day that the chain was broken and there is no installation waste cycle poor quality pls dont buy this one;-1
good quality;1
everything is good but its tail is weak;0
steel quality is not up to the mark but okay okay product;0
this diapers is very bad and rational for baby skin;-1
only body looking;0
very very bad product likeg problem every pants;-1
superb product;1
third class diaper;-1
very good product very smart;1
great product and great service by team haier;1
heat melt blown not properly;0
very poor product it will shoke maximum 2 hours;-1
small in size as soon in picture;-1
not up to the mark;-1
all things are good but only one issue date adjustment is not up to date;1
good job;1
good;1
diaper is not good quality very low quality diaper;-1
nice;1
the best watch ever thank you for this model i am very glad nd happy for the watch;1
broom quality is good but not working more then month because very low material used in brooms under part manufacturing defect ;-1
decent product good for kidsconvenient in use;1
very bad quality products no leakedproof all the potty leaked out from the diaper no use of this diaper money wasted;-1
leak leak leak problemtotal west money;-1
good one;1
good sound n connecting fast;1
super cool;1
good;1
not recommended bad quality;-1
nice;1
broom sticks are falling down;-1
ireally bestest product;1
motor is heart of aircooler so it should be manufactured by crompton;0
good product but one eye small ;0
good product in a reasonable price thanks flipkart;1
sleek and light weight;0
colour fade;0
so bad;-1
product is not same;-1
is okay;0
brightness is very lowthis is what disappointed me so much;-1
leakg problmvery poor material even kid can tear itlooks very bulkyplz dont buy it ;-1
its very small just only enough for 23 members doesnt prefer to large familyroom;0
ok;0
nice product;0
good product;1
good;1
its an ok product it becomes ineffective if temp is above 36 infact it increases humidity in room which feels like more heat and uncomfort i should have gone for ac by doing more investment;0
very hard;-1
average product;0
not good for 18 months baby after 4 hours it leaked;-1
how a product can be so bad i mean it fills up in just two hours and starts leaking;-1
no growth;1
the quality is very bad;-1
good quality;0
very good;1
nice;1
its okay ;0
bad quality;-1
this product is very attractivesure;0
its okay;0
okk;0
fabric is not goodlots off buds after 1 day use;0
this product is most likelybest quality;1
very nice product;0
installation havent done;0
no words for the bookwords cant describe its importance;0
poor quality;-1
used my 1 year old child it causes skin rashes and red colour he not feeling well;-1
good product thank u lakme;1
it is nice watch;1
very good;1
cheap quality products;-1
good product and material is best  but fornt whell is not comfortable for cycle and i last time fitting this whell;0
quality is goodbut price need to reduce when ordering more items from one company  i purchased 11 quantity at same time;0
jast ok;0
nice;1
fitting not goodleakage so early;-1
good choice go for it;1
small product;-1
not satisfied;-1
very very bad quality;-1
it is written it has steaming feature but steamer is not included;0
looks ok fast as wd;0
excellent product loved it;1
nice;1
not goodvery poor quality;-1
i aspects two port of usb but only one port present;0
just okok;0
paper used is of very low quality for that pricea thick paper could have been used;-1
useless brand;-1
good;1
ok;0
good stuf;1
superd;1
pair length up and down;0
this football is not goodits heavyit has no blader it is not stitchedonly design of stitch is shownair leaks from the valvso i will not suggest you to buy itat fist i thought this fball is too good but not it is worse;-1
okk;0
owsom product best quality i got just at 350 rupee;1
good;1
its totally worse and money wasted product new diaper leaked from anywhere after changing dont know how too many times me and my family feel embarrassing and cant gave 8 to 10 hrs its hardly fulls in 1 to 2 hrs its not durable or product quality is also badi love using cuddles diaper a lot they gave atleast 8 to 10 hrs satisfaction product quality and durability was awesome bum tum was disappointing so much never recommended to anyone even littles huggies are also good but;-1
very good product easy to install value for money;1
not good;-1
good for heating foodbut it is little bit noisy and i think grilling option vala purchase karna better hai despite of spending more bucks for griller;1
qulati is not good oky typs;0
colour is very dark;0
nice product;1
good one;1
excellent product;1
ok not bad;0
ordinary shoes;0
normal;0
cloth is very thin;0
nice memory card;1
very nice product but when it comes to installation it is a diy;1
dont waste money;-1
working very good speed is very good as it is class 10 sd card you can buy it;1
paper quality is low size also small;-1
good but it not 1000ml;0
brilliant;1
ok;0
i bought earlier of 18 ltrs it was insulated well but this is not insulated as th earlier one this is not working for long hours it doesnt keep the water hot for more than 2 hours;0
very chip quality;0
nyc product and delivery boy ?� behaviour is goid;0
sound;0
very high price;0
good product delivered and installed in one day;1
all are punture;0
nice;1
just ok;0
very bad productweast of money;-1
noise level high;0
i like it;1
very cheap quality my childs skin problem started from the first day of use;-1
ok;0
height is little bit small major disadvantage is over weight and squeezing capacity just ok and absorbency was good and cleaned well;0
worst productleaking starts after 1 or 2 hourshated it;-1
so nice product but sound can be better on this model;0
average;0
dont buy this product becz of potty coming out from leg side;-1
product is good and best from flip cart value for money;1
its very thin;-1
bad product;-1
worst quality;-1
product is good but its hard to install yourself;1
good;1
very bad qualityi m disappointed;-1
cooling good but material not as expatetion this is fine for 2 people;0
nice product and thick;1
very bad quality;-1
bed quality diaper s size m size parfact but l size diaper not good;-1
average quality started leakage in 3 months kept hot for 5 to 8 hours but leaking on the lid deserving 3 stars only;0
leakage problem;-1
very e;0
ok product;0
supper sir thank u;1
doesnt work;-1
low quality product;-1
useless product only work for 34 hr;-1
good;1
nice n trust worthy company;1
its very bad;-1
quality so do;0
after 1 month my grandson picked the ball and the ball suddenly started leak from the filling point;-1
almost okk product;0
awesome kajal;1
my phone is infinix hot 8 and i got the same charger with it and made in india written in it but when i ordered this charger i saw that made in china is written in it but it charges well;0
the football is not at all worth the prize it is made up of cheap rubber material and inside there is no bladder so you can imagine the quality with one strong kick its gone that what happened when my son played the very first day he received the footballjust one big kick and all the air came out pathetic i would not recommend this football to any kid beginners or senior player the rubber is not capable of taking any kind of impact;-1
wasted;-1
very cheap quality torn in one week;-1
its awesome;1
nice one;1
value for money its gud product working completely fine;1
super;1
this is bad ball;-1
nice profarmance;1
according to price product is gud;0
this product quality is chang;-1
ok;0
very bad quality;-1
havent used yet but all seem to be fine timely delivered ;0
bed quality;0
below average quality the circle is not aligned properly;0
not good;-1
low quality ;-1
this product not expected its too small dedy;-1
ok;0
super;1
small size;0
worst product baby rashess problem this product not for safe baby pls dont buy;-1
got front tyre tube defected nearby valve has to replace tyre tube from my pocket seat tightening screw is of no use no matter how much to tight it seat will slide down as soon as you sit on it only one l key is being provided you have to purchase two different size l key tool in l shape;-1
good package and good product first order package worked excellent then i ordered second one had issue with speaker wire connector were not proper so took long time to resolve atleast speaker worked fine but had issue with speaker wire connector;1
very bad products;-1
super;-1
average its not as my expectation ;0
bed product;-1
kettali is best but dilevary is very bad;0
very poor quality totally disappointed on this purchase;-1
average;0
bad;-1
bad quality;-1
not recommended for xl size diaper is linkage;-1
very bad product dont buy please;-1
compact size;0
very good com fast hiting need 2lper kettle;1
not good for long term use and not waterproof completely and hands smells something after using;-1
its cool;1
vocal bass tribil super this price range 1100;1
good;0
these are not really n95;0
items very stuck;-1
folt not work;0
please please please dont buy this product and dont waste your money prestige symbol has removed with in 10 days when i clean up the product they are supplied duplicate productrice cooking not well;1
worst product i was chosen;-1
product delivery very late product is good best choice flipkart;1
good product ;1
wifi needed every time and always need powerbatrery and bluetooth provided by google it will be next level;0
flipkart is cheated with us it was described that buy 1 and get 4 other free but we have received only one piece glue is also very bad wallpaper quality is also very bad color and size is not recommended so dont buy it;-1
stitching is shabby unstitched at many places;0
not more;-1
nice product;1
good;1
bad product pls dont bey this product;-1
good;1
your item is very bad;-1
wonderful product worth for price on time installation;1
nice go it;1
loved the cycle but there was little painting was gone and its not fully assembled so giving 4 start else its worth buying pic attached is after assembling parts;0
electric cable is very shorts;0
ok nice;0
bad product because water not absorbed properly one side empty and other side absorbed and sometime urine came outside from diaper;-1
best quality products really value for money and easy installation;1
this memory card is very good;1
the product was really excellent and also the delivery was exceptionally fast ;1
diaper has leakage problem sometimes it leaks just after one hour;-1
ok ok;0
not good at all;-1
hamara bajaj right from childhood we say and its true;1
very bad uncomfortable;-1
very good;1
quality of the product is not as expected;0
not up to the mark very bad quality after 45 hrs its leekeage;-1
beautiful flowers;1
okay;0
spin not working;0
how is use sd mode;0
mat id very thin;0
quality decreased when compared to small packet;-1
its nice in price range;1
quality not good;-1
very bad quality;-1
ok ok;0
using simple;0
quality is not good;-1
low quality;-1
awesome products;1
design is good but not worth itcooling is ok ok air distribution is also normalwill recommend to go for some local cooler as they deliver more chilled air than this one and are cheaper also;0
very poor item and delivery time is very slow;-1
worth for money low best mic;1
very nice;1
4 layers only;0
nice;1
good but the quality of cloth is ok;0
too smallwaste of money;-1
first time i m very disappointed to buy bumtum diaper because of quality fault;-1
quality not good;-1
not as per details leaking very soon;-1
assembled and now putting on the bookslets see for long term;0
cooker working wellbut full damaged;0
nice pic;1
good quality;1
ok;0
nice one;1
sol in tight;0
side leakage problem;-1
product is good and correctly fit but try to avoid the phone placing in any rough surface causes scratches and colour will be shade at magnetic holder better to use stand while at placing rough surfaces;0
after one month its dead;-1
the product i got didnt have that staricon which shows it was genuine ;-1
good;1
dont buy such products not worth it buy erasable chalk slate of u can coz this got damaged with a month now battery is dead even after replacing it its not working and quality of the board is not good;-1
very bad leakage problem;-1
quality is not good;-1
bad product;-1
poor quality cloth used;-1
not bad;0
chief and best;1
the fan create some time soundwhy i dont knowit like it is loosely fit confusedrest ok;0
good cuality;1
medium quality its okay;0
its amazing;1
know how to link ua wifi guys but it on 1499 speed is as per descibe usually rate it 4 star;0
not good qualityit is leaking till morning;-1
okay;0
ok;0
very bad quality shoe dont buy this model;-1
i always love samsung for that i purchased this one and i have got what i expected awesome love it;1
fabulous;1
its a normal transparant silicone cover silent buttonspeakers snd charging hole are open volume buttonpower key and logo are covered camera space is open in the shape of a square;0
worthy for money it seems like the quality of the watch not so good but looks nice;1
very small;-1
not so good fitting was very tight;-1
satisfactory;1
not good at all;-1
less prize and ok quality;1
poor quality dont buy;-1
ontime installation done very professional service person and installation done using one month very much satisfied good quality water;1
after usage of 2 months i am adding this comment within 2 hours diaper is full and start leaking become heavy cotton of diaper also get seperated diaper become heavy at contact surface only uneven distribution;-1
very very bad product;-1
very very nice product;1
very very very bad;-1
not good;-1
so bad quality;-1
i am not satisfied with the product it was unable to clean hard water stains so i dont recommend it ;-1
its smallwill be ok for 23members;1
bad;-1
it is such a great one what else can be said abt this getting the twin pack that too the color deep black is something wow for a cheaper price i just dont recommend but also request u all to for this one coz the happiness of getting a brand one at cheap cost is just unexplainable thanks flipkart;1
rashes occured bad product;-1
very bad quality its become leakage dont buy this;-1
good;1
it is very small compared to slate;0
this diaper is not good very bad likage in loose motions;-1
nice quality sound;1
product is good but packing is worst;0
bad experience it does not work more then two hours dont buy ;-1
beautiful;1
very nice;1
goood;1
nice product;1
speaker distribution is very good but dont go for 45w because overall bass and music effect is very low you will not feel the theatrical effect in this model its sound like some low variant 21 speaker so please go to higher watts speaker like 90w or 120w even you have small room;0
nice fiting;1
it is two layer mask not three layers its quality is okay okay not good that much size is too big not suitable for below 5 years;0
good product;1
suprb;1
awsome product i loved it;1
nic pint;0
nice product;1
low quality bad;-1
good product;1
very nice i am fully satisfied;1
nice product but faced problem with the installationdo not take the installation from flipkart but go for bajaj installationflipkart will just charge for all the extra fittingoverall happy with the geyser;1
very bad daiper;-1
not good1 pc crack;0
